Job Title,Company Name,Location,Link
"Senior Data Analyst
Senior Data Analyst with verification",Circle,San Francisco Bay Area (Remote),https://www.linkedin.com/jobs/search-results/?currentJobId=4239566125&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=xnPg8voRhkGneYHkSzcekw%3D%3D
"Senior Software Engineer, Data Platform
Senior Software Engineer, Data Platform with verification",Clari,San Francisco Bay Area (Remote),https://www.linkedin.com/jobs/search-results/?currentJobId=4230108721&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=F4m1WoZGgeo3R6%2F3HQQSWQ%3D%3D
"Senior Software Engineer, Data (Developer)
Senior Software Engineer, Data (Developer) with verification",Coinbase,"San Francisco, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4188525618&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=Tgg4Myr%2FnHkWVkc58OdYQA%3D%3D
"AI Scientist / Engineer, Model Training
AI Scientist / Engineer, Model Training",Conquest,"Palo Alto, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253526655&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=WCH%2BtKMjuER%2Bkw0R0%2FfmHg%3D%3D
"Sr. Staff Data Engineer - Matterport, SF Bay Area
Sr. Staff Data Engineer - Matterport, SF Bay Area with verification",CoStar Group,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4236833087&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=BbSRh0IteLIRW3OKDbxT3w%3D%3D
"Senior Manager ML Production Engineering
Senior Manager ML Production Engineering with verification",CoStar Group,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4222891989&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=Ee7gQTd3Jf4KusImEX3b6A%3D%3D
"Juvenile Hall Housekeeper
Juvenile Hall Housekeeper",County of Marin,"San Rafael, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4251379304&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=8j5GS1RpBeN560XGmdaakg%3D%3D
"Group Product Manager, Adversary Strategy and MLOps
Group Product Manager, Adversary Strategy and MLOps with verification",CrowdStrike,"Sunnyvale, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4173460277&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=MjjijHo%2BUJoZxHUqg03JbA%3D%3D
"Group Product Manager, Efficacy
Group Product Manager, Efficacy with verification",CrowdStrike,"Sunnyvale, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4173456691&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=ypJlRb9lvsc5NhikEXwi4A%3D%3D
"Staff Data Scientist
Staff Data Scientist with verification",Databricks,"Mountain View, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4239594426&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=PYbD9C8UrY8LEUuqqG4b7Q%3D%3D&trackingId=I6HfOYAV8DeNgVAMHTJ7iw%3D%3D
"Business Operations & Data Analytics
Business Operations & Data Analytics",Decagon,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4253439434&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=PiLAuQ9fZcHlbzFuwtbchw%3D%3D
"Applied Scientist, Experimentation and Causal Inference
Applied Scientist, Experimentation and Causal Inference with verification",DoorDash,"Sunnyvale, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4083058338&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=Df8TyHJoA5OKKxFDvxlSkA%3D%3D
"Machine Learning Engineer, Dasher Supply
Machine Learning Engineer, Dasher Supply with verification",DoorDash,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4024181917&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=GEm74psQpPqXEzerKeULwQ%3D%3D
"Sr. Director - Ventures - AI/ML & Biotech Innovation
Sr. Director - Ventures - AI/ML & Biotech Innovation with verification",Eli Lilly and Company,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4251959668&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=72oFuzOXhVGQiHowIxh%2BDQ%3D%3D
"SAP - Data Migration/MDG - Senior - Consulting - Location Open
SAP - Data Migration/MDG - Senior - Consulting - Location Open with verification",EY,"San Francisco, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253538985&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=QQ90YfyFpfJz8AeiUi7wyw%3D%3D
"SAP - Data Migration/MDG - Senior - Consulting - Location Open
SAP - Data Migration/MDG - Senior - Consulting - Location Open with verification",EY,"Palo Alto, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253539672&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=zwuoz6fCibsM9AtSxtUOXQ%3D%3D
"Senior Product Manager
Senior Product Manager",Few&Far,San Francisco Bay Area (Hybrid),https://www.linkedin.com/jobs/search-results/?currentJobId=4253295780&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=z3mEuBLcdWvLvcnKLn6HxQ%3D%3D
"Senior Product Manager - SDK & AI
Senior Product Manager - SDK & AI with verification",Fivetran,"Oakland, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4251368917&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=hJHMbArkIke4ICHUdS6k%2Fg%3D%3D
"Senior Product Manager - AI - Santa Clara - Hybrid
Senior Product Manager - AI - Santa Clara - Hybrid with verification",Gigamon,"Santa Clara, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4210071030&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=0Y8leL6aS5kR1qHptsytFA%3D%3D
"Data Scientist/Growth Engineer
Data Scientist/Growth Engineer",HartleyCo,San Francisco Bay Area (On-site),https://www.linkedin.com/jobs/search-results/?currentJobId=4251741040&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=O8aF2eU%2BF5p3PLbLpps4Lw%3D%3D
"Senior Data Engineer -San Francisco, CA
Senior Data Engineer -San Francisco, CA",House Rx,"San Francisco, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4251396716&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=NYW6gqb2gA4GbQ9B%2BuTf%2Bw%3D%3D
"Data Scientist (W2)
Data Scientist (W2) with verification",Infojini Inc,"Sunnyvale, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253255289&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=R8%2B09t65U13zhIQfocG7uA%3D%3D
